C,penalty,ndcg5
0.01,l1,0.3287167001967248
0.1,l1,0.3287075893757608
0.1,l2,0.3287075893757608
1.0,l1,0.3287075893757608
1.0,l2,0.3287075893757608
10.0,l1,0.3287075893757608
10.0,l2,0.3287075893757608
0.001,l2,0.3286989138849925
0.001,l1,0.32868231666836867
0.01,l2,0.3286672147252265
